Path,Total Delay
4801 -> 4800 -> 4080 -> 3522 -> 3520,26.980872389139556
4801 -> 4800 -> 4080 -> 3522 -> 3603,27.188116289055483
4801 -> 4800 -> 4080 -> 4011 -> 4010,21.579940012568297
4801 -> 4800 -> 4080 -> 4004 -> 4010,21.579940012568297
4801 -> 4900 -> 4124 -> 5220 -> 3660,25.315916574187813
4801 -> 4900 -> 4124 -> 5220 -> 3600,36.676966337260794
4801 -> 4900 -> 4124 -> 4113 -> 3660,25.833902185698605
4801 -> 4900 -> 4124 -> 4113 -> 3600,37.194951948771575
4801 -> 4900 -> 4124 -> 4113 -> 3680,22.07973269155083
4801 -> 4900 -> 4124 -> 4111 -> 3601,27.868993752705816
4801 -> 4900 -> 4124 -> 5222 -> 3660,25.903916574187814
4801 -> 4900 -> 4124 -> 5222 -> 3600,37.26496633726079
4801 -> 4900 -> 5223 -> 5220 -> 3660,25.315916574187813
4801 -> 4900 -> 5223 -> 5220 -> 3600,36.676966337260794
4801 -> 4900 -> 5223 -> 4113 -> 3660,25.833902185698605
4801 -> 4900 -> 5223 -> 4113 -> 3600,37.194951948771575
4801 -> 4900 -> 5223 -> 4113 -> 3680,22.07973269155083
4801 -> 4900 -> 5223 -> 5222 -> 3660,25.903916574187814
4801 -> 4900 -> 5223 -> 5222 -> 3600,37.26496633726079
4801 -> 4900 -> 5223 -> 5228 -> 3660,26.575699105970724
4801 -> 4900 -> 5223 -> 5228 -> 3600,37.9367488690437
4801 -> 4900 -> 5223 -> 3557 -> 3688,22.023331727474773
4801 -> 4900 -> 5223 -> 3557 -> 3601,26.53325980461287
4801 -> 4900 -> 5223 -> 3557 -> 4010,31.959030852484474
4801 -> 4900 -> 4920 -> 5220 -> 3660,25.315916574187813
4801 -> 4900 -> 4920 -> 5220 -> 3600,36.676966337260794
4801 -> 4900 -> 4111 -> 4110 -> 3601,28.51060214431421
4801 -> 4900 -> 4111 -> 4100 -> 3601,29.349046054702004
4801 -> 4900 -> 4111 -> 4114 -> 3601,27.868993752705816
4801 -> 4900 -> 4111 -> 3601,27.868993752705816
4801 -> 4900 -> 4111 -> 4104 -> 3601,28.675766993946834
4801 -> 4900 -> 4111 -> 4104 -> 3661,24.303785473037895
4801 -> 4900 -> 4111 -> 4060 -> 3601,29.20389197518288
4801 -> 4900 -> 4111 -> 4061 -> 3601,27.868993752705816
4801 -> 4900 -> 4114 -> 4110 -> 3601,24.587945223022412
4801 -> 4900 -> 4114 -> 4111 -> 3601,27.868993752705816
4801 -> 4900 -> 4114 -> 4100 -> 3601,25.426389133410208
4801 -> 4900 -> 4114 -> 3601,23.94633683141402
4801 -> 4900 -> 4114 -> 4113 -> 3660,25.833902185698605
4801 -> 4900 -> 4114 -> 4113 -> 3600,37.194951948771575
4801 -> 4900 -> 4114 -> 4113 -> 3680,22.07973269155083
4801 -> 4900 -> 4114 -> 4060 -> 3601,25.281235053891084
4801 -> 4900 -> 4914 -> 4114 -> 3601,23.94633683141402
4801 -> 4900 -> 4914 -> 4111 -> 3601,27.868993752705816
4801 -> 4900 -> 4914 -> 4110 -> 3601,24.587945223022412
4801 -> 4900 -> 5224 -> 5220 -> 3660,25.315916574187813
4801 -> 4900 -> 5224 -> 5220 -> 3600,36.676966337260794
4801 -> 4080 -> 3522 -> 3527 -> 3603,20.39380497057445
4801 -> 4080 -> 3522 -> 3523 -> 3520,20.186561070658517
4801 -> 4080 -> 3522 -> 3526 -> 3520,20.186561070658517
4801 -> 4080 -> 3522 -> 3521 -> 3603,20.39380497057445
4801 -> 4080 -> 3522 -> 3520,20.186561070658517
4801 -> 4080 -> 3522 -> 3525 -> 3603,21.55605474457278
4801 -> 4080 -> 3522 -> 3528 -> 3603,20.39380497057445
4801 -> 4080 -> 3522 -> 3529 -> 3603,20.39380497057445
4801 -> 4080 -> 3522 -> 3603,20.39380497057445
4801 -> 4080 -> 4003 -> 3522 -> 3520,21.85505769228014
4801 -> 4080 -> 4003 -> 3522 -> 3603,22.062301592196068
4801 -> 4080 -> 4003 -> 4011 -> 4010,16.454125315708886
4801 -> 4080 -> 4003 -> 4004 -> 4010,16.454125315708886
4801 -> 4080 -> 4011 -> 4010,14.785628694087263
4801 -> 4080 -> 4011 -> 4040 -> 4010,14.785628694087263
4801 -> 4080 -> 4011 -> 3522 -> 3520,20.186561070658517
4801 -> 4080 -> 4011 -> 3522 -> 3603,20.39380497057445
4801 -> 4080 -> 4020 -> 3522 -> 3520,29.919809715152756
4801 -> 4080 -> 4020 -> 3522 -> 3603,30.127053615068682
4801 -> 4080 -> 4020 -> 4011 -> 4010,24.518877338581493
4801 -> 4080 -> 4002 -> 3522 -> 3520,20.186561070658517
4801 -> 4080 -> 4002 -> 3522 -> 3603,20.39380497057445
4801 -> 4080 -> 4002 -> 4011 -> 4010,14.785628694087263
4801 -> 4080 -> 4002 -> 4004 -> 4010,14.785628694087263
4801 -> 4080 -> 4030 -> 4011 -> 4010,22.56768027277621
4801 -> 4080 -> 4030 -> 4040 -> 4010,22.56768027277621
4801 -> 4080 -> 4030 -> 3522 -> 3520,27.96861264934747
4801 -> 4080 -> 4030 -> 3522 -> 3603,28.175856549263397
4801 -> 4080 -> 3401 -> 3522 -> 3520,23.948787090320153
4801 -> 4080 -> 3401 -> 3522 -> 3603,24.15603099023608
4801 -> 4080 -> 4004 -> 3522 -> 3520,20.186561070658517
4801 -> 4080 -> 4004 -> 3522 -> 3603,20.39380497057445
4801 -> 4080 -> 4004 -> 4011 -> 4010,14.785628694087263
4801 -> 4080 -> 4004 -> 4010,14.785628694087263
4801 -> 4080 -> 4031 -> 4011 -> 4010,14.785628694087263
4801 -> 4080 -> 4031 -> 3522 -> 3520,20.186561070658517
4801 -> 4080 -> 4031 -> 3522 -> 3603,20.39380497057445
4801 -> 4820 -> 4080 -> 3522 -> 3520,27.94423205032581
4801 -> 4820 -> 4080 -> 3522 -> 3603,28.151475950241736
4801 -> 4820 -> 4080 -> 4011 -> 4010,22.543299673754547
4801 -> 4820 -> 4080 -> 4004 -> 4010,22.543299673754547
4801 -> 4826 -> 4080 -> 3522 -> 3520,20.186561070658517
4801 -> 4826 -> 4080 -> 3522 -> 3603,20.39380497057445
4801 -> 4826 -> 4080 -> 4011 -> 4010,14.785628694087263
4801 -> 4826 -> 4080 -> 4004 -> 4010,14.785628694087263
4801 -> 4828 -> 4080 -> 3522 -> 3520,20.186561070658517
4801 -> 4828 -> 4080 -> 3522 -> 3603,20.39380497057445
4801 -> 4828 -> 4080 -> 4011 -> 4010,14.785628694087263
4801 -> 4828 -> 4080 -> 4004 -> 4010,14.785628694087263
4801 -> 4720 -> 4080 -> 3522 -> 3520,21.0846491654159
4801 -> 4720 -> 4080 -> 3522 -> 3603,21.29189306533183
4801 -> 4720 -> 4080 -> 4011 -> 4010,15.683716788844643
4801 -> 4720 -> 4080 -> 4004 -> 4010,15.683716788844643
4801 -> 4811 -> 4080 -> 3522 -> 3520,20.186561070658517
4801 -> 4811 -> 4080 -> 3522 -> 3603,20.39380497057445
4801 -> 4811 -> 4080 -> 4011 -> 4010,14.785628694087263
4801 -> 4811 -> 4080 -> 4004 -> 4010,14.785628694087263
4801 -> 4812 -> 4080 -> 3522 -> 3520,20.186561070658517
4801 -> 4812 -> 4080 -> 3522 -> 3603,20.39380497057445
4801 -> 4812 -> 4080 -> 4011 -> 4010,14.785628694087263
4801 -> 4812 -> 4080 -> 4004 -> 4010,14.785628694087263
